availability_365,number_of_reviews,clusters
0.5122683087729311,2.724029516216778,4.0
-0.6689773707289994,-0.32203053832063505,2.0
1.1741009944513174,3.4039536355331648,4.0
1.8191784222644285,0.1947117923598189,3.0
-0.4511590184804165,4.872589733256559,1.0
0.4787577930423797,-0.32203053832063505,0.0
0.4117367615812773,0.14031786281450795,0.0
2.3888571896837987,-0.4852123269565679,3.0
0.6630656295604114,0.8202419821308947,0.0
-0.3171169555582117,7.102740844614309,1.0
1.2746325416429711,5.579710817345601,1.0
0.7217090320888759,1.0378177003121385,4.0
0.4117367615812773,1.1466055594027604,4.0
1.484073264958916,1.1738025241754158,4.0
1.2411220259124198,5.579710817345601,1.0
1.6348705857463963,2.125696291218357,4.0
-0.6438444839310861,0.0043330389512305865,2.0
-0.5433129367394324,-0.3492275030932905,2.0
2.1459059506373026,3.947892930986274,1.0
0.9311497554048213,0.2763026866777853,0.0
-0.2082077794339202,0.33069661622309626,0.0
2.1877940953004917,-0.4580153621839124,3.0
1.1824786233839553,1.3913782423566596,4.0
1.8108007933317904,6.042059218480746,1.0
2.355346673953248,0.2763026866777853,3.0
2.2045493531657674,3.4311506003058203,4.0
0.07663160427576511,-0.4580153621839124,0.0
1.8191784222644285,0.41228751054106266,3.0
2.0872625481088383,0.085923933269197,3.0
-0.4595366474130543,7.8642558582486615,1.0
0.33633810118753704,3.893499001440963,4.0
1.1824786233839553,2.2888780798542903,4.0
1.92808759838872,-0.32203053832063505,3.0
-0.6689773707289994,0.8746359116762057,2.0
-0.6689773707289994,1.4185752071293152,4.0
-0.6689773707289994,-0.4580153621839124,2.0
1.148968107653404,0.1947117923598189,3.0
1.7186468750727746,2.4792568332628786,4.0
0.8892616107416321,1.2825903832660377,4.0
-0.12443149010754218,-0.1860457144573577,0.0
-0.4008932448845897,2.2616811150816347,4.0
-0.6689773707289994,3.6215293537144086,4.0
1.542716667487381,0.54827233440434,3.0
-0.4008932448845897,0.4666814400863736,2.0
0.4117367615812773,-0.4852123269565679,0.0
-0.6689773707289994,-0.3492275030932905,2.0
-0.3925156159519519,3.7575141775776864,4.0
2.3888571896837987,-0.4852123269565679,3.0
-0.10767623224226656,-0.4580153621839124,2.0
1.7186468750727746,-0.1860457144573577,3.0
-0.09929860330962877,1.7177418196285252,4.0
1.542716667487381,3.866302036668308,4.0
-0.6689773707289994,-0.4036214326386015,2.0
2.2799480135595074,1.4729691366746258,3.0
1.0987023340575772,0.3850905457684072,0.0
0.5792893402340333,1.581756995765248,4.0
0.0514987174778517,-0.2948335735479796,0.0
2.2380598688963182,2.125696291218357,4.0
2.0369967745130118,1.9353175378097691,4.0
0.3614709879854505,0.7386510878129283,0.0
-0.6689773707289994,0.43948447531371815,2.0
